CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
1,1,19,15,39,4,-0.4063827151579587,-0.520713634754161
2,1,21,15,81,4,-1.4276728699542158,-0.3673101985064435
3,0,20,16,6,2,0.0507605706498493,-1.894067743173413
4,0,23,16,77,1,-1.6945131001694185,-1.6319080463761078
5,0,31,17,40,2,-0.3131083826452849,-1.8104827229475484
6,0,22,17,76,1,-1.71744627238695,-1.599264180338641
7,0,35,18,6,2,0.7908211244257651,-1.9472711231346185
8,0,23,18,94,1,-2.148321588354201,-1.505373687527429
9,1,64,19,3,0,2.774286226088667,-0.8829876717475628
10,0,30,19,72,1,-1.2162947672439104,-1.6164046413069468
11,1,67,19,14,0,2.629050844956018,-0.861237043143227
12,0,35,19,99,1,-1.689470377641948,-1.5454278393385137
13,0,58,20,15,2,1.6858225266861935,-2.0239447888163236
14,0,24,20,77,1,-1.6460733883910446,-1.5225125897317806
15,1,37,20,13,0,1.1744362769650292,-0.6127909605390228
16,1,22,20,79,4,-1.3261307015730746,-0.236719149371547
17,0,35,21,35,2,0.016772825250205254,-1.7434457225503441
18,1,20,21,66,4,-1.0784245398454704,-0.2447156412289939
19,1,52,23,29,0,1.4875878004377263,-0.5726760275517677
20,0,35,23,98,1,-1.6637316850276518,-1.4325977447537224
21,1,35,24,35,0,0.48809031054841157,-0.39292114499289843
22,1,25,24,73,4,-1.0189505128416623,-0.16624751103387825
23,0,46,25,5,2,1.3589149217937708,-1.828669357439308
24,1,31,25,73,4,-0.7229727219419867,-0.18168701739895993
25,0,54,28,14,2,1.5131593111179227,-1.7645119588688019
26,1,29,28,82,4,-1.0624115725397167,-0.04311506139164747
27,0,45,28,32,2,0.5888329082822432,-1.6254161367177853
28,1,35,28,61,4,-0.20618822719627083,-0.17190696972127054
29,0,40,29,31,2,0.36842644009595904,-1.5630064477055965
30,0,23,29,87,1,-1.9642041381454178,-1.2121199030829213
31,1,60,30,4,0,2.547591941703815,-0.5279135219026032
32,0,21,30,73,1,-1.6898306715897031,-1.2241232127435842
33,1,53,33,4,0,2.2013172145981366,-0.38819564740583323
34,1,18,33,92,4,-1.8732969500021577,0.2248552703060103
35,0,49,33,14,2,1.265156925889714,-1.581258539665389
36,0,21,33,81,1,-1.9038655693749464,-1.1044409860268491
37,0,42,34,17,2,0.8393445904066122,-1.4879386679529742
38,0,30,34,73,1,-1.246444367873824,-1.1742594020487023
39,0,36,37,26,2,0.30243244384012946,-1.3196008889709399
40,0,20,37,75,1,-1.794158676612287,-1.004203524714458
41,0,65,38,35,2,1.4938759431071404,-1.4701325172117303
42,1,24,38,92,4,-1.5782477713162963,0.3262526763289362
